pitch,velocity,start,end
71,64,0,113
73,64,120,233
68,64,240,467
71,64,240,467
75,64,240,467
71,64,480,593
68,64,600,941
73,64,960,1187
63,64,1200,1427
66,64,1200,1427
70,64,1200,1427
66,64,1440,1553
63,64,1560,1901
70,64,1920,2147
59,64,2160,2387
64,64,2160,2387
68,64,2160,2387
66,64,2400,2513
59,64,2520,2861
66,64,2880,3107
54,64,3120,3803
59,64,3120,3803
63,64,3120,3803
61,64,3840,3953
63,64,3960,4073
56,64,4080,4535
59,64,4080,4535
64,64,4080,4535
71,64,4560,4787
70,64,4800,4913
71,64,4920,5033
59,64,5040,5495
63,64,5040,5495
66,64,5040,5495
64,64,5520,5747
63,64,5760,5873
64,64,5880,5993
56,64,6000,6455
59,64,6000,6455
65,64,6000,6455
71,64,6480,6707
70,64,6720,6833
68,64,6840,6953
58,64,6960,7643
63,64,6960,7643
67,64,6960,7643
71,64,7680,7793
73,64,7800,7913
68,64,7920,8147
71,64,7920,8147
75,64,7920,8147
71,64,8160,8273
68,64,8280,8621
73,64,8640,8867
66,64,8943,9118
70,64,9007,9118
63,64,8880,9119
66,64,9120,9233
63,64,9240,9581
70,64,9600,9827
59,64,9840,10067
64,64,9840,10067
68,64,9840,10067
66,64,10080,10193
59,64,10200,10541
66,64,10560,10787
54,64,10800,11280
59,64,10800,11483
63,64,10800,11483
61,64,11520,11633
63,64,11640,11753
56,64,11760,12215
59,64,11760,12215
64,64,11760,12215
66,64,12240,12467
64,64,12480,12593
66,64,12600,12713
54,64,12720,12947
59,64,12720,12947
63,64,12720,12947
66,64,12960,13187
71,64,13200,13427
75,64,13440,13667
68,64,13743,14038
73,64,13807,14038
64,64,13680,14039
73,64,14040,14153
73,64,14160,14501
71,64,14520,14633
63,64,14640,15551
66,64,14640,15551
71,64,14640,15551
71,64,17280,17393
73,64,17400,17513
68,64,17520,17747
71,64,17520,17747
75,64,17520,17747
71,64,17760,17873
68,64,17880,18221
73,64,18240,18467
63,64,18480,18707
66,64,18480,18707
70,64,18480,18707
66,64,18720,18833
63,64,18840,19181
70,64,19200,19427
59,64,19440,19667
64,64,19440,19667
68,64,19440,19667
66,64,19680,19793
59,64,19800,20141
66,64,20160,20387
54,64,20400,20880
59,64,20400,21083
63,64,20400,21083
61,64,21120,21233
63,64,21240,21353
56,64,21360,21815
59,64,21360,21815
64,64,21360,21815
71,64,21840,22067
70,64,22080,22193
71,64,22200,22313
59,64,22320,22775
63,64,22320,22775
66,64,22320,22775
64,64,22800,23027
63,64,23040,23153
64,64,23160,23273
56,64,23280,23735
59,64,23280,23735
65,64,23280,23735
71,64,23760,23987
70,64,24000,24113
68,64,24120,24233
58,64,24240,24923
63,64,24240,24923
67,64,24240,24923
71,64,24960,25073
73,64,25080,25193
68,64,25200,25427
71,64,25200,25427
75,64,25200,25427
71,64,25440,25553
68,64,25560,25901
73,64,25920,26147
63,64,26160,26387
66,64,26160,26387
70,64,26160,26387
66,64,26400,26513
63,64,26520,26861
70,64,26880,27107
59,64,27120,27347
64,64,27120,27347
68,64,27120,27347
66,64,27360,27473
59,64,27480,27821
66,64,27840,28067
54,64,28080,28560
59,64,28080,28763
63,64,28080,28763
61,64,28800,28913
63,64,28920,29033
56,64,29040,29495
59,64,29040,29495
64,64,29040,29495
66,64,29520,29747
64,64,29760,29873
66,64,29880,29993
54,64,30000,30227
59,64,30000,30227
63,64,30000,30227
66,64,30240,30467
71,64,30480,30707
75,64,30720,30947
63,64,30960,31073
67,64,30960,31073
73,64,30960,31073
73,64,31080,31421
63,61,31440,31781
67,61,31440,31781
73,61,31440,31781
71,58,31800,31913
63,57,31920,32831
68,57,31920,32831
71,57,31920,32831
61,49,32880,33221
64,49,32880,33221
68,49,32880,33221
70,49,33240,33353
71,49,33360,33587
70,49,33600,33713
68,49,33720,33833
59,49,33840,34067
66,49,33840,34067
75,49,34080,34307
75,49,34320,34775
66,49,34800,35141
70,49,34800,35141
73,49,34800,35141
75,49,35160,35273
76,49,35280,35507
75,49,35520,35633
73,49,35640,35753
63,49,35760,35987
66,49,35760,35987
71,49,35760,35987
73,49,36000,36227
66,49,36240,36695
