pitch,velocity,start,end
67,56,241,361
72,60,361,481
76,63,481,589
67,50,601,721
72,47,721,841
76,47,841,961
67,56,1201,1321
72,60,1321,1441
76,62,1441,1549
67,50,1561,1681
72,48,1681,1801
76,48,1801,1921
69,56,2161,2281
74,60,2281,2401
77,65,2401,2509
69,51,2521,2641
74,50,2641,2761
77,50,2761,2881
69,58,3121,3241
74,60,3241,3361
77,65,3361,3469
69,52,3481,3601
74,50,3601,3721
77,50,3721,3841
67,56,4081,4201
74,60,4201,4321
77,65,4321,4429
67,51,4441,4561
74,50,4561,4681
77,50,4681,4801
67,56,5041,5161
74,60,5161,5281
77,65,5281,5389
67,52,5401,5521
74,50,5521,5641
77,50,5641,5761
67,53,6001,6121
72,55,6121,6241
76,60,6241,6349
67,50,6361,6481
72,47,6481,6601
76,47,6601,6721
67,55,6961,7081
72,57,7081,7201
76,61,7201,7309
67,50,7321,7441
72,48,7441,7561
76,48,7561,7681
69,61,7921,8041
76,66,8041,8161
81,70,8161,8269
69,55,8281,8401
76,51,8401,8521
81,51,8521,8641
69,61,8881,9001
76,65,9001,9121
81,68,9121,9229
69,55,9241,9361
76,52,9361,9481
81,52,9481,9601
66,56,9841,9961
69,60,9961,10081
74,63,10081,10189
66,50,10201,10321
69,47,10321,10441
74,47,10441,10561
66,56,10801,10921
69,60,10921,11041
74,62,11041,11149
66,50,11161,11281
69,48,11281,11401
74,48,11401,11521
67,58,11761,11881
74,63,11881,12001
79,66,12001,12109
67,51,12121,12241
74,50,12241,12361
79,50,12361,12481
67,58,12721,12841
74,62,12841,12961
79,65,12961,13069
67,52,13081,13201
74,50,13201,13321
79,50,13321,13441
64,56,13681,13801
67,60,13801,13921
72,63,13921,14029
64,50,14041,14161
67,47,14161,14281
72,47,14281,14401
64,56,14641,14761
67,60,14761,14881
72,62,14881,14989
64,50,15001,15121
67,48,15121,15241
72,48,15241,15361
64,56,15601,15721
67,60,15721,15841
72,63,15841,15949
64,50,15961,16081
67,47,16081,16201
72,47,16201,16321
64,56,16561,16681
67,60,16681,16801
72,62,16801,16909
64,50,16921,17041
67,48,17041,17161
72,48,17161,17281
62,56,17521,17641
66,60,17641,17761
72,63,17761,17869
62,50,17881,18001
66,47,18001,18121
72,47,18121,18241
62,56,18481,18601
66,60,18601,18721
72,62,18721,18829
62,50,18841,18961
66,48,18961,19081
72,48,19081,19201
62,53,19441,19561
67,56,19561,19681
71,60,19681,19789
62,46,19801,19921
67,45,19921,20041
71,45,20041,20161
62,53,20401,20521
67,56,20521,20641
71,58,20641,20749
62,47,20761,20881
67,45,20881,21001
71,45,21001,21121
64,53,21361,21481
67,56,21481,21601
73,60,21601,21709
64,46,21721,21841
67,45,21841,21961
73,45,21961,22081
64,53,22321,22441
67,56,22441,22561
73,58,22561,22669
64,47,22681,22801
67,45,22801,22921
73,45,22921,23041
62,56,23281,23401
69,60,23401,23521
74,63,23521,23629
62,50,23641,23761
69,47,23761,23881
74,47,23881,24001
62,56,24241,24361
69,60,24361,24481
74,62,24481,24589
62,50,24601,24721
69,48,24721,24841
74,48,24841,24961
62,53,25201,25321
65,56,25321,25441
71,60,25441,25549
62,46,25561,25681
65,45,25681,25801
71,45,25801,25921
62,53,26161,26281
65,56,26281,26401
71,58,26401,26509
62,47,26521,26641
65,45,26641,26761
71,45,26761,26881
60,53,27121,27241
67,56,27241,27361
72,60,27361,27469
60,46,27481,27601
67,45,27601,27721
72,45,27721,27841
60,53,28081,28201
67,56,28201,28321
72,58,28321,28429
60,47,28441,28561
67,45,28561,28681
72,45,28681,28801
57,50,29041,29161
60,53,29161,29281
65,56,29281,29389
57,45,29401,29521
60,42,29521,29641
65,42,29641,29761
57,50,30001,30121
60,53,30121,30241
65,55,30241,30349
57,45,30361,30481
60,43,30481,30601
65,43,30601,30721
57,50,30961,31081
60,53,31081,31201
65,56,31201,31309
57,45,31321,31441
60,42,31441,31561
65,42,31561,31681
57,50,31921,32041
60,53,32041,32161
65,55,32161,32269
57,45,32281,32401
60,43,32401,32521
65,43,32521,32641
55,50,32881,33001
59,53,33001,33121
65,56,33121,33229
55,45,33241,33361
59,42,33361,33481
65,42,33481,33601
55,50,33841,33961
59,53,33961,34081
65,55,34081,34189
55,45,34201,34321
59,43,34321,34441
65,43,34441,34561
55,50,34801,34921
60,53,34921,35041
64,56,35041,35149
55,45,35161,35281
60,42,35281,35401
64,42,35401,35521
55,50,35761,35881
60,53,35881,36001
64,55,36001,36109
55,45,36121,36241
60,43,36241,36361
64,43,36361,36481
58,47,36721,36841
60,50,36841,36961
64,53,36961,37069
58,41,37081,37201
60,40,37201,37321
64,40,37321,37441
58,47,37681,37801
60,50,37801,37921
64,52,37921,38029
58,42,38041,38161
60,40,38161,38281
64,40,38281,38401
57,47,38641,38761
60,50,38761,38881
64,53,38881,38989
57,41,39001,39121
60,40,39121,39241
64,40,39241,39361
57,47,39601,39721
60,50,39721,39841
64,52,39841,39949
57,42,39961,40081
60,40,40081,40201
64,40,40201,40321
57,50,40561,40681
60,53,40681,40801
63,56,40801,40909
57,45,40921,41041
60,42,41041,41161
63,42,41161,41281
57,50,41521,41641
60,53,41641,41761
63,55,41761,41869
57,45,41881,42001
60,43,42001,42121
63,43,42121,42241
59,47,42481,42601
60,50,42601,42721
62,53,42721,42829
59,41,42841,42961
60,40,42961,43081
62,40,43081,43201
59,47,43441,43561
60,50,43561,43681
62,52,43681,43789
59,42,43801,43921
60,40,43921,44041
62,40,44041,44161
55,50,44401,44521
59,53,44521,44641
62,56,44641,44749
55,45,44761,44881
59,42,44881,45001
62,42,45001,45121
55,50,45361,45481
59,53,45481,45601
62,55,45601,45709
55,45,45721,45841
59,43,45841,45961
62,43,45961,46081
55,50,46321,46441
60,53,46441,46561
64,56,46561,46669
55,45,46681,46801
60,42,46801,46921
64,42,46921,47041
55,50,47281,47401
60,53,47401,47521
64,55,47521,47629
55,45,47641,47761
60,43,47761,47881
64,43,47881,48001
55,53,48241,48361
60,56,48361,48481
65,60,48481,48589
55,46,48601,48721
60,45,48721,48841
65,45,48841,48961
55,53,49201,49321
60,56,49321,49441
65,58,49441,49549
55,47,49561,49681
60,45,49681,49801
65,45,49801,49921
55,53,50161,50281
59,56,50281,50401
65,60,50401,50509
55,46,50521,50641
59,45,50641,50761
65,45,50761,50881
55,53,51121,51241
59,56,51241,51361
65,58,51361,51469
55,47,51481,51601
59,45,51601,51721
65,45,51721,51841
57,56,52081,52201
60,60,52201,52321
66,63,52321,52429
57,50,52441,52561
60,47,52561,52681
66,47,52681,52801
57,56,53041,53161
60,60,53161,53281
66,62,53281,53389
57,50,53401,53521
60,48,53521,53641
66,48,53641,53761
55,58,54001,54121
60,63,54121,54241
67,66,54241,54349
55,51,54361,54481
60,50,54481,54601
67,50,54601,54721
55,58,54961,55081
60,62,55081,55201
67,65,55201,55309
55,52,55321,55441
60,50,55441,55561
67,50,55561,55681
55,50,55921,56041
60,53,56041,56161
65,56,56161,56269
55,45,56281,56401
60,42,56401,56521
65,42,56521,56641
55,50,56881,57001
60,53,57001,57121
65,55,57121,57229
55,45,57241,57361
60,43,57361,57481
65,43,57481,57601
55,50,57841,57961
59,53,57961,58081
65,56,58081,58189
55,45,58201,58321
59,42,58321,58441
65,42,58441,58561
55,50,58801,58921
59,53,58921,59041
65,55,59041,59149
55,45,59161,59281
59,43,59281,59401
65,43,59401,59521
55,53,59761,59881
58,56,59881,60001
64,60,60001,60109
55,46,60121,60241
58,45,60241,60361
64,45,60361,60481
55,53,60721,60841
58,56,60841,60961
64,58,60961,61069
55,47,61081,61201
58,45,61201,61321
64,45,61321,61441
53,50,61680,61800
57,53,61800,61920
60,55,61920,62040
65,53,62040,62160
60,53,62160,62280
57,53,62280,62400
60,55,62400,62520
57,50,62520,62640
53,47,62640,62760
57,46,62760,62880
53,46,62880,63000
50,42,63000,63120
53,43,63120,63240
50,38,63240,63360
67,50,63600,63720
71,53,63720,63840
74,55,63840,63960
77,60,63960,64080
74,55,64080,64200
71,53,64200,64320
74,56,64320,64440
71,53,64440,64560
67,56,64560,64680
71,53,64680,64800
62,55,64800,64920
65,50,64920,65040
64,50,65040,65160
62,50,65160,65280
64,50,65281,66721
67,50,65281,66721
72,50,65281,66721
64,57,121,961
60,61,1,961
64,57,1081,1921
60,62,961,1921
62,60,2041,2881
60,65,1921,2881
62,60,3001,3841
60,65,2881,3841
62,60,3961,4801
59,65,3841,4801
62,60,4921,5761
59,65,4801,5761
64,57,5881,6721
60,61,5761,6721
64,57,6841,7681
60,62,6721,7681
64,62,7801,8641
60,67,7681,8641
64,62,8761,9601
60,68,8641,9601
62,57,9721,10561
60,61,9601,10561
62,57,10681,11521
60,62,10561,11521
62,60,11641,12481
59,65,11521,12481
62,60,12601,13441
59,65,12481,13441
60,57,13561,14401
59,61,13441,14401
60,57,14521,15361
59,62,14401,15361
60,57,15481,16321
57,61,15361,16321
60,57,16441,17281
57,62,16321,17281
57,57,17401,18241
50,61,17281,18241
57,57,18361,19201
50,62,18241,19201
59,55,19321,20161
55,57,19201,20161
59,55,20281,21121
55,58,20161,21121
58,55,21241,22081
55,57,21121,22081
58,55,22201,23041
55,58,22081,23041
57,57,23161,24001
53,61,23041,24001
57,57,24121,24961
53,62,24001,24961
56,55,25081,25921
53,57,24961,25921
56,55,26041,26881
53,58,25921,26881
55,55,27001,27841
52,57,26881,27841
55,55,27961,28801
52,58,27841,28801
53,51,28921,29761
52,55,28801,29761
53,51,29881,30721
52,55,29761,30721
53,51,30841,31681
50,55,30721,31681
53,51,31801,32641
50,55,31681,32641
50,51,32761,33601
43,55,32641,33601
50,51,33721,34561
43,55,33601,34561
52,51,34681,35521
48,55,34561,35521
52,51,35641,36481
48,55,35521,36481
55,48,36601,37441
48,51,36481,37441
55,48,37561,38401
48,52,37441,38401
53,48,38521,39361
41,51,38401,39361
53,48,39481,40321
41,52,39361,40321
48,51,40441,41281
42,55,40321,41281
48,51,41401,42241
42,55,41281,42241
53,48,42361,43201
44,51,42241,43201
53,48,43321,44161
44,52,43201,44161
53,51,44281,45121
43,55,44161,45121
53,51,45241,46081
43,55,45121,46081
52,51,46201,47041
43,55,46081,47041
52,51,47161,48001
43,55,47041,48001
50,55,48121,48961
43,57,48001,48961
50,55,49081,49921
43,58,48961,49921
50,55,50041,50881
43,57,49921,50881
50,55,51001,51841
43,58,50881,51841
51,57,51961,52801
43,61,51841,52801
51,57,52921,53761
43,62,52801,53761
52,60,53881,54721
43,65,53761,54721
52,60,54841,55681
43,65,54721,55681
50,51,55801,56641
43,55,55681,56641
50,51,56761,57601
43,55,56641,57601
50,51,57721,58561
43,55,57601,58561
50,51,58681,59521
43,55,58561,59521
48,55,59641,60481
36,57,59521,60481
48,55,60601,61441
36,58,60481,61441
48,51,61560,63360
36,55,61441,63361
50,51,63480,65280
36,55,63361,65281
48,53,65281,66721
36,53,65281,66721
67,53,70320,70560
69,54,70560,70800
71,55,70800,71040
72,60,71040,71400
74,57,71400,71460
72,57,71460,71520
71,57,71520,71740
76,60,71760,72000
69,56,72000,72220
74,60,72240,72600
76,57,72600,72720
74,57,72720,72840
72,56,72840,72960
71,55,72960,73050
67,55,73080,73200
69,56,73200,73320
71,57,73320,73440
72,57,73440,73560
71,53,73560,73680
72,54,73680,73800
74,55,73800,73920
76,56,73920,74040
74,57,74040,74160
76,58,74160,74280
78,59,74280,74400
79,60,74400,74640
71,56,74640,74880
72,60,74880,75100
69,55,75120,75360
74,58,75360,75480
72,57,75480,75600
71,56,75600,75720
69,55,75720,75840
67,54,75840,76200
67,56,76200,76320
65,55,76320,76440
64,55,76440,76560
65,55,76560,76680
67,55,76680,76800
69,55,76800,76920
67,56,76920,77040
69,55,77040,77160
71,57,77160,77280
72,59,77280,78240
71,57,78240,78720
72,60,78960,79200
74,63,79200,79440
76,64,79440,79680
77,69,79680,80040
79,66,80040,80100
77,66,80100,80160
76,66,80160,80380
81,69,80400,80640
74,64,80640,80860
79,69,80880,81240
81,67,81240,81360
79,66,81360,81480
77,64,81480,81600
76,63,81600,81820
81,70,81840,82200
83,68,82200,82320
81,67,82320,82440
79,66,82440,82560
77,65,82560,83520
76,60,83520,83880
78,57,83880,84000
79,63,84000,84960
78,63,84960,85440
79,60,85440,85560
77,59,85560,85680
76,58,85680,85800
74,57,85800,85920
72,56,85920,86040
74,57,86040,86160
72,57,86160,86280
71,57,86280,86400
69,57,86400,86520
72,58,86520,86640
71,58,86640,86760
69,57,86760,86880
72,58,87480,87600
69,55,87720,87840
68,54,87840,88020
76,60,88080,88320
74,58,88320,88560
72,56,88560,88680
71,56,88680,88800
69,54,88800,88920
68,54,88920,89040
69,54,89040,89160
71,53,89160,89280
72,56,89280,89370
66,54,89400,89520
69,54,89520,89640
68,55,89640,89760
71,58,89760,90000
69,56,90000,90120
71,56,90120,90240
72,58,90240,90460
77,64,90480,90720
76,62,90720,90960
74,60,90960,91440
72,58,91440,91560
71,58,91560,91680
71,60,91680,91725
72,55,91725,91770
71,60,91770,92040
69,57,92040,92160
69,60,92160,92640
67,53,95280,95520
69,54,95520,95760
71,55,95760,96000
72,60,96000,96360
74,57,96360,96420
72,57,96420,96480
71,57,96480,96700
