pitch,velocity,start,end
93,87,0,64
69,71,0,128
64,71,0,128
61,71,0,128
57,71,0,128
92,73,64,128
91,72,128,192
90,70,192,256
91,79,256,320
90,76,320,384
89,71,384,448
88,72,448,512
89,75,512,576
88,72,576,640
87,67,640,704
86,75,704,768
85,70,768,832
84,70,832,896
83,76,896,960
82,74,960,1011
81,73,1024,1088
57,66,1024,1152
55,66,1024,1152
52,66,1024,1152
45,66,1024,1152
80,70,1088,1152
79,68,1152,1216
78,69,1216,1280
79,71,1280,1344
78,75,1344,1408
77,72,1408,1472
76,69,1472,1536
77,82,1536,1600
76,75,1600,1664
75,75,1664,1728
74,71,1728,1792
73,70,1792,1856
72,70,1856,1920
71,68,1920,1984
70,71,1984,2035
69,60,2048,2112
68,57,2112,2176
67,57,2176,2240
66,57,2240,2304
67,62,2304,2368
66,57,2368,2432
65,59,2432,2496
64,55,2496,2560
69,68,2560,2624
68,54,2624,2688
67,61,2688,2752
66,53,2752,2816
67,58,2816,2880
66,58,2880,2944
65,58,2944,3008
64,56,3008,3059
57,66,3072,3135
53,66,3072,3135
50,66,3072,3135
69,67,3072,3136
68,58,3136,3200
67,54,3200,3264
66,56,3264,3328
65,62,3328,3392
70,65,3392,3456
69,57,3456,3520
68,53,3520,3584
57,70,3584,3647
53,70,3584,3647
50,70,3584,3647
69,63,3584,3648
68,55,3648,3712
67,57,3712,3776
66,61,3776,3840
59,66,3840,3903
55,66,3840,3903
50,66,3840,3903
65,56,3840,3904
66,63,3904,3968
67,67,3968,4032
68,67,4032,4083
57,67,4096,4159
53,67,4096,4159
50,67,4096,4159
69,59,4096,4160
68,57,4160,4224
67,56,4224,4288
66,55,4288,4352
65,61,4352,4416
70,67,4416,4480
69,62,4480,4544
68,56,4544,4608
57,71,4608,4671
53,71,4608,4671
50,71,4608,4671
69,67,4608,4672
68,57,4672,4736
67,60,4736,4800
66,55,4800,4864
65,57,4864,4928
59,66,4864,4992
55,66,4864,4992
50,66,4864,4992
66,70,4928,4992
67,62,4992,5056
68,64,5056,5107
69,64,5120,5184
57,67,5120,5248
53,67,5120,5248
50,67,5120,5248
68,58,5184,5248
67,55,5248,5312
66,56,5312,5376
67,65,5376,5440
58,67,5376,5504
55,67,5376,5504
50,67,5376,5504
66,63,5440,5504
65,61,5504,5568
64,55,5568,5632
65,63,5632,5696
57,70,5632,5760
53,70,5632,5760
50,70,5632,5760
66,63,5696,5760
67,65,5760,5824
68,55,5824,5888
69,66,5888,5952
57,67,5888,6016
55,67,5888,6016
52,67,5888,6016
49,67,5888,6016
70,64,5952,6016
69,56,6016,6080
68,63,6080,6131
69,59,6144,6208
57,66,6144,6272
53,66,6144,6272
50,66,6144,6272
68,60,6208,6272
67,54,6272,6336
66,59,6336,6400
67,61,6400,6464
58,63,6400,6528
55,63,6400,6528
50,63,6400,6528
66,57,6464,6528
65,56,6528,6592
64,61,6592,6656
65,58,6656,6720
57,69,6656,6784
53,69,6656,6784
50,69,6656,6784
66,65,6720,6784
67,63,6784,6848
68,62,6848,6912
69,62,6912,6976
61,66,6912,7040
57,66,6912,7040
55,66,6912,7040
52,66,6912,7040
71,63,6976,7040
72,64,7040,7104
73,64,7104,7155
74,64,7168,7232
60,72,7168,7296
54,72,7168,7296
50,72,7168,7296
73,58,7232,7296
72,59,7296,7360
71,53,7360,7424
70,52,7424,7488
58,67,7424,7552
55,67,7424,7552
50,67,7424,7552
75,68,7488,7552
74,63,7552,7616
73,58,7616,7680
74,64,7680,7744
62,67,7680,7808
58,67,7680,7808
55,67,7680,7808
73,57,7744,7808
72,57,7808,7872
71,58,7872,7936
70,54,7936,8000
64,70,7936,8064
60,70,7936,8064
55,70,7936,8064
71,62,8000,8064
72,65,8064,8128
73,63,8128,8179
74,64,8192,8256
62,70,8192,8320
58,70,8192,8320
55,70,8192,8320
73,60,8256,8320
72,54,8320,8384
71,58,8384,8448
70,57,8448,8512
75,68,8512,8576
74,57,8576,8640
73,56,8640,8704
74,64,8704,8768
62,70,8704,8832
58,70,8704,8832
55,70,8704,8832
73,60,8768,8832
72,57,8832,8896
71,62,8896,8960
70,57,8960,9024
64,67,8960,9088
60,67,8960,9088
55,67,8960,9088
71,62,9024,9088
72,66,9088,9152
73,65,9152,9203
74,61,9216,9280
62,68,9216,9344
58,68,9216,9344
55,68,9216,9344
73,59,9280,9344
72,64,9344,9408
71,57,9408,9472
72,66,9472,9536
63,70,9472,9600
60,70,9472,9600
55,70,9472,9600
71,60,9536,9600
70,56,9600,9664
69,56,9664,9728
70,61,9728,9792
62,49,9728,9856
58,49,9728,9856
55,49,9728,9856
71,62,9792,9856
72,64,9856,9920
73,64,9920,9984
74,56,9984,10048
62,56,9984,10112
60,56,9984,10112
57,56,9984,10112
75,65,10048,10112
74,58,10112,10176
73,53,10176,10227
74,64,10240,10304
62,53,10240,10368
58,53,10240,10368
55,53,10240,10368
73,58,10304,10368
72,54,10368,10432
71,57,10432,10496
72,68,10496,10560
63,48,10496,10624
60,48,10496,10624
55,48,10496,10624
71,56,10560,10624
70,58,10624,10688
69,60,10688,10752
70,63,10752,10816
62,58,10752,10880
58,58,10752,10880
55,58,10752,10880
71,59,10816,10880
72,66,10880,10944
73,63,10944,11008
74,65,11008,11072
62,49,11008,11136
60,49,11008,11136
54,49,11008,11136
75,64,11072,11136
74,56,11136,11200
73,59,11200,11251
58,53,11264,11327
55,53,11264,11327
74,84,11264,11328
62,45,11328,11379
62,58,11392,11423
62,61,11456,11487
62,63,11520,11551
62,60,11584,11615
62,61,11648,11679
62,63,11712,11743
63,51,11776,11840
61,51,11776,11840
62,57,11840,11904
63,65,11904,11968
61,65,11904,11968
75,80,11968,12032
63,46,12032,12096
61,46,12032,12096
62,54,12096,12160
63,64,12160,12224
61,64,12160,12224
75,74,12224,12288
74,53,12288,12319
62,45,12288,12352
74,58,12352,12383
74,62,12416,12447
74,60,12480,12511
74,64,12544,12575
74,58,12608,12639
74,61,12672,12703
74,64,12736,12767
75,59,12800,12831
73,59,12800,12831
74,60,12864,12895
75,65,12928,12959
73,65,12928,12959
87,77,12992,13023
