pitch,velocity,start,end
63,61,480,720
75,61,480,720
63,61,960,1200
75,61,960,1200
63,61,1440,1680
75,61,1440,1680
87,61,1920,2160
99,61,1920,2160
87,61,2400,2640
99,61,2400,2640
87,65,2880,3120
99,65,2880,3120
63,61,3360,3600
75,61,3360,3600
63,61,3840,4080
75,61,3840,4080
63,61,4320,4560
75,61,4320,4560
87,61,4800,5040
99,61,4800,5040
87,59,5280,5520
99,59,5280,5520
87,60,5760,6000
99,60,5760,6000
63,54,6240,6480
75,54,6240,6480
87,52,6720,6960
99,52,6720,6960
87,50,7200,7440
99,50,7200,7440
63,47,7680,7920
75,47,7680,7920
87,45,8160,8400
99,45,8160,8400
87,46,8640,8880
99,46,8640,8880
87,39,10080,10200
75,57,9840,10320
99,39,10560,10680
87,60,10320,10800
99,39,11040,11160
87,61,10800,11280
99,39,11520,11640
85,59,11280,11760
56,65,11760,12000
63,65,11839,12000
71,65,11918,12000
99,40,12000,12120
83,61,11760,12240
99,40,12480,12600
83,59,12240,12720
99,40,12960,13080
82,58,12720,13200
59,61,13200,13440
68,61,13279,13440
75,61,13358,13440
99,40,13440,13560
80,55,13200,13680
99,40,13920,14040
79,55,13680,14160
99,40,14400,14520
80,59,14160,14640
63,65,14640,14880
70,65,14719,14880
79,65,14798,14880
99,40,14880,15000
82,67,14640,15120
87,40,15360,15480
75,53,15120,15600
87,40,15840,15960
75,54,15600,16080
67,61,16080,16320
70,61,16200,16320
87,40,16320,16440
76,57,16080,16560
87,40,16800,16920
75,57,16560,17040
87,40,17280,17400
73,55,17040,17520
68,65,17520,17760
87,40,17760,17880
71,57,17520,18000
87,40,18240,18360
71,56,18000,18480
87,40,18720,18840
70,56,18480,18960
59,60,18960,19200
62,60,19039,19200
65,60,19118,19200
87,40,19200,19320
68,54,18960,19440
87,40,19680,19800
67,55,19440,19920
87,40,20160,20280
68,58,19920,20400
63,65,20400,20640
67,65,20400,20640
87,40,20640,20760
70,67,20400,20880
75,40,21120,21240
63,53,20880,21360
75,40,21360,21480
87,40,21600,21720
99,40,22080,22200
87,70,21840,22320
99,40,22560,22680
87,69,22320,22800
99,40,23040,23160
85,67,22800,23280
99,40,23520,23640
83,66,23280,23760
56,65,23280,23760
63,65,23415,23760
71,65,23550,23760
99,40,24000,24120
83,61,23760,24240
99,40,24480,24600
82,59,24240,24720
99,40,24960,25080
80,56,24720,25200
59,62,24720,25200
68,62,24855,25200
75,62,24990,25200
99,40,25440,25560
79,55,25200,25680
99,40,25920,26040
80,58,25680,26160
63,66,26160,26400
70,66,26239,26400
79,66,26318,26400
99,40,26400,26520
82,67,26160,26640
99,40,26880,27000
75,53,26640,27120
87,40,27360,27480
75,54,27120,27600
67,61,27600,27840
70,61,27720,27840
87,40,27840,27960
76,57,27600,28080
87,40,28320,28440
75,57,28080,28560
73,40,28560,28680
87,40,28800,28920
75,58,28560,29040
87,40,29280,29400
75,63,29040,29520
68,65,29040,29520
71,65,29040,29520
80,40,29520,29640
83,40,29760,29880
99,40,30240,30360
87,84,30000,30480
87,40,30720,30840
75,55,30480,30960
63,62,30480,30960
67,62,30480,30960
73,62,30480,30960
79,40,30960,31080
82,40,31200,31320
99,40,31680,31800
87,82,31440,31920
56,60,31920,32040
63,58,32160,32280
71,61,32400,32520
80,63,32640,32760
75,56,32880,33120
87,68,33120,33360
99,70,33360,33600
87,61,33600,33840
99,70,33840,34080
87,55,34080,34320
99,70,34320,34560
85,52,34560,34714
85,52,34714,34800
44,65,34800,35040
83,55,34800,35280
99,40,35040,35280
51,66,35280,35520
59,66,35280,35520
83,52,35280,35760
99,40,35520,35760
82,52,35760,36154
99,39,36000,36240
82,52,36154,36240
47,59,36240,36480
80,52,36240,36720
99,39,36480,36720
56,69,36720,36960
63,69,36720,36960
79,53,36720,37200
99,39,36960,37200
80,56,37200,37680
99,39,37440,37680
79,60,37680,37800
82,35,37680,37920
80,58,37800,37920
82,62,37920,38160
99,43,37920,38160
51,61,37680,38160
75,52,38160,38640
99,42,38400,38640
58,69,38160,38640
67,69,38160,38640
75,33,38880,39034
75,0,-1,39120
78,57,39034,39120
76,57,39120,39574
87,35,39360,39600
67,68,39120,39600
70,68,39120,39600
75,57,39600,40080
87,36,39840,40080
67,66,39600,40080
70,66,39600,40080
73,55,40080,40474
87,37,40320,40560
73,54,40474,40560
68,65,40560,40800
71,57,40560,41040
87,38,40800,41040
68,61,41040,41280
71,56,41040,41520
87,39,41280,41520
70,56,41520,41914
87,39,41760,42000
70,54,41914,42000
59,58,42000,42240
62,58,42000,42240
65,58,42000,42240
68,54,42000,42480
87,39,42240,42480
59,59,42480,42720
62,59,42480,42720
65,59,42480,42720
67,55,42480,42960
87,40,42720,42960
68,58,42960,43440
87,39,43200,43440
87,70,43680,43800
70,67,43440,43920
51,66,43440,43920
67,66,43440,43920
63,53,43920,44160
75,70,44160,44400
75,70,44400,44640
87,70,44640,44880
99,44,45120,45240
87,70,44880,45360
99,42,45600,45720
87,70,45360,45840
99,41,46080,46200
85,69,45840,46234
85,64,46234,46320
44,64,46320,46560
83,68,46320,46774
99,40,46560,46800
51,66,46800,47040
59,66,46800,47040
83,63,46800,47280
99,40,47040,47280
82,60,47280,47674
99,40,47520,47760
82,56,47674,47760
47,59,47760,48000
80,56,47760,48214
99,40,48000,48240
56,68,48240,48480
63,68,48240,48480
79,55,48240,48720
99,39,48480,48720
80,58,48720,49200
99,39,48960,49200
79,61,49200,49313
82,35,49200,49425
80,60,49320,49440
51,61,49200,49440
82,63,49440,49680
99,43,49440,49680
58,69,49680,49920
67,69,49680,49920
75,53,49680,50160
99,42,49920,50160
75,54,50160,50554
87,33,50400,50640
78,57,50554,50640
76,57,50640,51094
92,37,50880,51120
61,68,50640,51120
68,68,50640,51120
70,68,50640,51120
