pitch,velocity,start,end
73,100,0,48
73,100,96,144
70,100,192,240
68,100,240,288
66,100,336,432
63,100,720,768
66,100,768,816
66,100,864,912
66,100,960,1008
70,100,1008,1056
68,100,1104,1152
73,100,1536,1584
73,100,1632,1680
68,100,1728,1776
70,100,1776,1824
66,100,1872,1968
61,100,2256,2304
63,100,2304,2352
63,100,2400,2448
63,100,2496,2544
66,100,2544,2592
68,100,2640,2688
73,100,3072,3120
73,100,3168,3216
70,100,3264,3312
68,100,3312,3360
66,100,3408,3504
63,100,3792,3840
66,100,3840,3888
66,100,3936,3984
66,100,4032,4080
70,100,4080,4128
68,100,4176,4224
73,100,4608,4656
73,100,4704,4752
68,100,4800,4848
70,100,4848,4896
66,100,4944,5040
61,100,5328,5376
63,100,5376,5424
63,100,5472,5520
63,100,5568,5616
66,100,5616,5664
68,100,5712,5760
35,100,0,384
42,100,384,768
39,100,768,1152
37,100,1152,1536
35,100,1536,1920
42,100,1920,2304
39,100,2304,2688
37,100,2688,3072
35,100,3072,3456
42,100,3456,3840
39,100,3840,4224
37,100,4224,4608
35,100,4608,4992
42,100,4992,5376
39,100,5376,5760
37,100,5760,6144
42,100,0,12
42,100,48,60
36,100,0,96
42,100,96,108
42,100,144,156
36,100,144,192
42,100,192,204
42,100,204,216
42,100,216,228
42,100,228,240
40,100,192,240
42,100,240,252
42,100,288,300
42,100,300,312
42,100,312,324
42,100,324,336
42,100,336,348
42,100,384,396
42,100,432,444
36,100,432,480
42,100,480,492
42,100,528,540
42,100,576,588
42,100,588,600
42,100,600,612
42,100,612,624
40,100,576,624
42,100,624,636
42,100,672,684
42,100,684,696
42,100,696,708
42,100,708,720
42,100,720,732
42,100,768,780
42,100,816,828
36,100,768,864
42,100,864,876
42,100,912,924
36,100,912,960
42,100,960,972
42,100,972,984
42,100,984,996
40,100,960,1008
42,100,996,1008
42,100,1008,1020
42,100,1056,1068
42,100,1068,1080
42,100,1080,1092
42,100,1092,1104
42,100,1104,1116
42,100,1152,1164
42,100,1200,1212
36,100,1200,1248
42,100,1248,1260
42,100,1296,1308
42,100,1344,1356
42,100,1356,1368
42,100,1368,1380
42,100,1380,1392
40,100,1344,1392
42,100,1392,1404
42,100,1440,1452
42,100,1452,1464
42,100,1464,1476
42,100,1476,1488
42,100,1488,1500
42,100,1536,1548
42,100,1584,1596
36,100,1536,1632
42,100,1632,1644
42,100,1680,1692
36,100,1680,1728
42,100,1728,1740
42,100,1740,1752
42,100,1752,1764
40,100,1728,1776
42,100,1764,1776
42,100,1776,1788
42,100,1824,1836
42,100,1836,1848
42,100,1848,1860
42,100,1860,1872
42,100,1872,1884
42,100,1920,1932
42,100,1968,1980
36,100,1968,2016
42,100,2016,2028
42,100,2064,2076
42,100,2112,2124
42,100,2124,2136
42,100,2136,2148
42,100,2148,2160
