pitch	velocity	start	end
36	127	120	150
49	120	122	152
79	110	120	210
79	100	240	300
81	100	300	360
52	92	480	540
74	105	360	570
71	105	120	600
67	92	120	600
43	115	120	600
50	110	540	600
72	89	600	720
72	96	720	780
69	92	780	840
67	64	600	840
76	86	600	840
48	89	600	870
50	105	900	960
52	115	960	1020
74	105	840	1050
67	73	840	1080
36	110	600	1080
53	96	1020	1080
71	92	840	1080
36	127	1080	1110
49	120	1082	1112
79	105	1080	1170
72	96	1080	1200
76	92	1080	1200
79	100	1200	1320
43	115	1080	1320
55	122	1080	1320
57	96	1320	1380
81	115	1320	1380
60	110	1380	1440
84	92	1380	1440
57	105	1440	1500
81	92	1440	1500
79	86	1500	1530
41	122	1320	1530
76	65	1200	1560
55	122	1500	1560
67	71	1080	1560
72	75	1200	1560
48	105	1560	1680
72	75	1560	1680
48	105	1680	1740
72	92	1680	1740
45	105	1740	1800
76	77	1560	1800
69	89	1740	1800
36	105	1560	1800
67	69	1560	1800
38	110	1800	1920
74	83	1800	2010
50	110	1800	2010
67	69	1800	2040
43	96	1920	2040
71	77	1800	2040
36	127	2040	2070
49	120	2042	2072
79	86	2040	2160
55	122	2040	2160
50	105	2160	2280
74	92	2160	2280
72	83	2040	2280
67	64	2040	2280
76	83	2040	2280
48	115	2280	2400
72	75	2280	2400
47	115	2400	2460
71	89	2400	2460
45	89	2460	2520
69	92	2460	2520
65	83	2280	2520
36	86	2460	2520
49	127	2520	2550
36	127	2520	2550
67	71	2520	2640
43	110	2520	2640
55	105	2640	2760
79	86	2640	2760
76	86	2520	2760
72	86	2520	2760
36	127	2760	2790
49	127	2760	2790
74	89	2760	2850
50	115	2760	2880
52	110	2880	2940
76	83	2880	2940
50	100	2940	3000
67	67	2760	3000
74	89	2940	3000
38	105	2760	3000
71	83	2760	3000
48	100	3000	3120
72	67	3000	3120
48	92	3120	3180
72	83	3120	3180
45	96	3180	3240
65	65	3000	3240
69	80	3180	3240
36	89	3000	3240
50	105	3240	3270
74	71	3240	3300
52	100	3300	3360
76	75	3300	3360
50	100	3360	3420
74	75	3360	3420
72	80	3420	3450
38	110	3240	3450
71	64	3240	3460
48	89	3420	3480
50	105	3480	3540
74	67	3480	3540
48	89	3540	3600
72	86	3540	3600
47	105	3600	3660
71	75	3600	3660
38	105	3480	3660
45	105	3660	3720
69	80	3660	3720
67	62	3240	3720
38	96	3660	3720
36	127	3720	3750
49	127	3720	3750
38	127	3840	3870
38	127	3870	3900
38	127	3900	3930
43	92	3720	3932
67	69	3720	3947
74	75	3720	3947
71	69	3720	3952
38	127	3930	3960
38	89	3960	3990
36	127	3960	3990
38	74	4020	4050
79	110	3960	4050
38	80	4050	4080
36	127	4080	4110
38	96	4080	4110
79	100	4080	4140
38	69	4140	4170
38	99	4170	4200
81	100	4140	4200
38	105	4200	4230
36	127	4200	4230
38	74	4260	4290
38	101	4290	4320
36	127	4320	4350
38	84	4320	4350
38	105	4350	4380
52	92	4320	4380
38	83	4380	4410
74	105	4200	4410
38	100	4410	4440
71	105	3960	4440
50	110	4380	4440
67	92	3960	4440
43	115	3960	4440
38	89	4440	4470
36	127	4440	4470
38	74	4500	4530
38	80	4530	4560
72	89	4440	4560
38	96	4560	4590
36	127	4560	4590
72	96	4560	4620
38	69	4620	4650
38	99	4650	4680
69	92	4620	4680
67	64	4440	4680
76	86	4440	4680
38	105	4680	4710
36	127	4680	4710
48	89	4440	4710
38	74	4740	4770
38	101	4770	4800
50	105	4740	4800
36	127	4800	4830
38	84	4800	4830
38	105	4830	4860
52	115	4800	4860
38	83	4860	4890
74	105	4680	4890
38	100	4890	4920
67	73	4680	4920
53	96	4860	4920
71	92	4680	4920
36	127	4920	4950
38	89	4920	4950
38	74	4980	5010
79	105	4920	5010
38	80	5010	5040
76	92	4920	5040
72	96	4920	5040
38	96	5040	5070
36	127	5040	5070
38	69	5100	5130
38	99	5130	5160
43	115	4920	5160
79	100	5040	5160
55	122	4920	5160
36	127	5160	5190
38	105	5160	5190
81	115	5160	5220
57	96	5160	5220
38	74	5220	5250
38	101	5250	5280
60	110	5220	5280
84	92	5220	5280
38	84	5280	5310
36	127	5280	5310
38	105	5310	5340
81	92	5280	5340
57	105	5280	5340
38	83	5340	5370
79	86	5340	5370
41	122	5160	5370
38	100	5370	5400
72	75	5040	5400
55	122	5340	5400
67	71	4920	5400
76	65	5040	5400
38	89	5400	5430
36	127	5400	5430
38	74	5460	5490
38	80	5490	5520
72	75	5400	5520
48	105	5400	5520
38	96	5520	5550
36	127	5520	5550
72	92	5520	5580
48	105	5520	5580
38	69	5580	5610
38	99	5610	5640
69	89	5580	5640
67	69	5400	5640
76	77	5400	5640
45	105	5580	5640
36	127	5640	5670
38	105	5640	5670
38	74	5700	5730
38	101	5730	5760
36	127	5760	5790
38	84	5760	5790
38	105	5790	5820
38	83	5820	5850
74	83	5640	5850
50	110	5640	5850
38	100	5850	5880
71	77	5640	5880
67	69	5640	5880
43	96	5760	5880
36	127	5880	5910
38	89	5880	5910
38	74	5940	5970
38	80	5970	6000
79	86	5880	6000
55	122	5880	6000
38	96	6000	6030
36	127	6000	6030
38	69	6060	6090
38	99	6090	6120
72	83	5880	6120
74	92	6000	6120
76	83	5880	6120
50	105	6000	6120
67	64	5880	6120
36	127	6120	6150
38	105	6120	6150
38	74	6180	6210
38	101	6210	6240
72	75	6120	6240
48	115	6120	6240
38	84	6240	6270
36	127	6240	6270
38	105	6270	6300
